transaction_id,corridor_id,from_country,to_country,send_amount_usd,total_fee_usd,total_fee_pct,amount_received_usd,estimated_delay_hours,num_hops,status,sanctions_risk,corridor_status,is_edge_case,edge_case_reason,is_synthetic,data_source
TXN-0018,COR-002,USA,MEX,34428.92,1942.94,5.64,32485.98,25.4,2,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0019,COR-003,USA,CHN,42414.26,2846.04,6.71,39568.22,26.2,3,PENDING,MEDIUM,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0020,COR-004,GBR,IND,82032.44,5165.34,6.3,76867.1,24.5,2,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0021,COR-005,GBR,NGA,48845.63,3985.14,8.16,44860.49,97.9,4,DELAYED,HIGH,ACTIVE,False,Regulatory delay,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0022,COR-006,UAE,IND,50060.51,2602.04,5.2,47458.47,21.7,4,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0023,COR-007,UAE,PAK,53542.31,2718.78,5.08,50823.53,25.5,4,MANUAL_REVIEW,MEDIUM,RESTRICTED,True,Sanctions compliance hold,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0024,COR-008,SGP,IDN,26720.9,705.08,2.64,26015.82,20.1,2,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0025,COR-009,DEU,TUR,28815.05,1061.6,3.68,27753.45,24.6,4,FAILED,LOW,ACTIVE,True,Correspondent bank timeout,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0026,COR-010,USA,BRA,47033.9,3657.13,7.78,43376.77,22.7,2,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0027,COR-011,AUS,IND,19377.31,816.8,4.22,18560.51,27.6,3,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0028,COR-012,CAN,PHL,21224.32,1181.74,5.57,20042.58,26.8,2,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0029,COR-013,JPN,VNM,27232.69,1020.4,3.75,26212.29,16.4,3,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0030,COR-014,USA,NGA,59358.22,5287.12,8.91,54071.1,84.0,2,MANUAL_REVIEW,HIGH,RESTRICTED,True,Sanctions compliance hold,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0031,COR-015,GBR,PAK,57874.41,4558.56,7.88,53315.85,30.5,3,PENDING,MEDIUM,RESTRICTED,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0032,COR-016,DEU,IND,88989.16,5037.84,5.66,83951.32,30.0,2,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0033,COR-001,USA,IND,62381.94,4462.71,7.15,57919.23,31.2,2,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0034,COR-002,USA,MEX,19712.02,807.74,4.1,18904.28,25.3,4,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0035,COR-003,USA,CHN,55884.87,3336.46,5.97,52548.41,27.8,2,PENDING,MEDIUM,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0036,COR-004,GBR,IND,74691.15,4294.28,5.75,70396.87,26.5,2,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0037,COR-005,GBR,NGA,81287.66,6889.85,8.48,74397.81,106.7,4,DELAYED,HIGH,ACTIVE,False,Regulatory delay,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0038,COR-006,UAE,IND,20376.35,1010.36,4.96,19365.99,23.1,3,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0039,COR-007,UAE,PAK,79738.81,2701.15,3.39,77037.66,12.2,3,COMPLETED,MEDIUM,RESTRICTED,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0040,COR-008,SGP,IDN,66613.46,1754.12,2.63,64859.34,16.1,2,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0041,COR-009,DEU,TUR,6632.35,339.75,5.12,6292.6,15.0,4,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0042,COR-010,USA,BRA,91059.48,5780.69,6.35,85278.79,31.9,2,DELAYED,LOW,ACTIVE,False,Regulatory delay,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0043,COR-011,AUS,IND,12086.81,570.44,4.72,11516.37,21.7,4,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0044,COR-012,CAN,PHL,39642.44,2719.35,6.86,36923.09,24.0,2,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0045,COR-013,JPN,VNM,97391.91,3640.21,3.74,93751.7,24.2,3,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0046,COR-014,USA,NGA,49888.86,4729.61,9.48,45159.25,62.6,4,MANUAL_REVIEW,HIGH,RESTRICTED,True,Sanctions compliance hold,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0047,COR-015,GBR,PAK,58132.43,4263.55,7.33,53868.88,31.7,3,PENDING,MEDIUM,RESTRICTED,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0048,COR-016,DEU,IND,97646.99,4853.15,4.97,92793.84,23.7,3,FAILED,LOW,ACTIVE,True,Correspondent bank timeout,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0049,COR-001,USA,IND,3324.29,230.98,6.95,3093.31,21.4,4,COMPLETED,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
TXN-0050,COR-002,USA,MEX,92372.85,4040.82,4.37,88332.03,24.4,4,PENDING,LOW,ACTIVE,False,,True,World Bank Remittance Prices + BIS CPMI (Synthetic)
